,Year,Pos,Player,PTS,height,weight,Rank
0,1950.0,G-F,Curly Armstrong,458.0,180.0,77.0,91
1,1951.0,G-F,Curly Armstrong,202.0,180.0,77.0,106
2,1950.0,SG,Cliff Barker,279.0,188.0,83.0,150
3,1951.0,SG,Cliff Barker,152.0,188.0,83.0,112
4,1952.0,SG,Cliff Barker,126.0,188.0,83.0,102
5,1950.0,SF,Leo Barnhorst,438.0,193.0,86.0,99
6,1951.0,SF,Leo Barnhorst,546.0,193.0,86.0,45
7,1952.0,SF,Leo Barnhorst,820.0,193.0,86.0,19
8,1953.0,SF,Leo Barnhorst,967.0,193.0,86.0,12
9,1954.0,F-G,Leo Barnhorst,461.0,193.0,86.0,56
10,1950.0,F,Ed Bartels,63.0,196.0,88.0,248
11,1950.0,F,Ed Bartels,59.0,196.0,88.0,253
12,1950.0,F,Ed Bartels,4.0,196.0,88.0,302
13,1951.0,F,Ed Bartels,72.0,196.0,88.0,138
14,1950.0,G,Ralph Beard,895.0,178.0,79.0,12
15,1951.0,G,Ralph Beard,1111.0,178.0,79.0,8
16,1950.0,G-F,Gene Berce,10.0,180.0,79.0,291
17,1950.0,F-C,Charlie Black,661.0,196.0,90.0,45
18,1950.0,F-C,Charlie Black,382.0,196.0,90.0,108
19,1950.0,F-C,Charlie Black,279.0,196.0,90.0,150
20,1952.0,F-C,Charlie Black,17.0,196.0,90.0,122
21,1950.0,PG,Nelson Bobb,242.0,183.0,77.0,168
22,1951.0,PG,Nelson Bobb,148.0,183.0,77.0,115
23,1952.0,PG,Nelson Bobb,319.0,183.0,77.0,74
24,1953.0,PG,Nelson Bobb,343.0,183.0,77.0,77
25,1950.0,F-C,Jake Bornheimer,254.0,196.0,90.0,162
26,1950.0,SF,Vince Boryla,612.0,196.0,95.0,53
27,1951.0,SF,Vince Boryla,982.0,196.0,95.0,13
28,1952.0,SF,Vince Boryla,500.0,196.0,95.0,54
29,1953.0,SF,Vince Boryla,673.0,196.0,95.0,40
30,1954.0,SF,Vince Boryla,420.0,196.0,95.0,63
31,1950.0,F-G,Don Boven,656.0,193.0,95.0,47
32,1952.0,SG,Don Boven,656.0,193.0,95.0,34
33,1953.0,SF,Don Boven,451.0,193.0,95.0,64
34,1953.0,F-G,Don Boven,241.0,193.0,95.0,92
35,1953.0,F-G,Don Boven,106.0,193.0,95.0,112
36,1953.0,SF,Don Boven,104.0,193.0,95.0,114
37,1950.0,C,Harry Boykoff,779.0,208.0,102.0,28
38,1951.0,C,Harry Boykoff,326.0,208.0,102.0,81
39,1951.0,C,Harry Boykoff,201.0,208.0,102.0,108
40,1951.0,C,Harry Boykoff,125.0,208.0,102.0,123
41,1950.0,G,Joe Bradley,87.0,190.0,79.0,238
42,1950.0,PF,Bob Brannum,713.0,196.0,97.0,37
43,1952.0,PF,Bob Brannum,405.0,196.0,97.0,67
44,1953.0,PF,Bob Brannum,486.0,196.0,97.0,59
45,1954.0,PF,Bob Brannum,409.0,196.0,97.0,66
46,1955.0,PF,Bob Brannum,442.0,196.0,97.0,52
47,1950.0,G-F,Carl Braun,1031.0,196.0,81.0,7
48,1953.0,SG,Carl Braun,977.0,196.0,81.0,11
49,1954.0,SG,Carl Braun,1062.0,196.0,81.0,9
50,1955.0,SG,Carl Braun,1074.0,196.0,81.0,12
51,1956.0,SG,Carl Braun,1112.0,196.0,81.0,12
52,1957.0,PG,Carl Braun,1001.0,196.0,81.0,17
53,1958.0,PG,Carl Braun,1173.0,196.0,81.0,15
54,1959.0,PG,Carl Braun,754.0,196.0,81.0,32
55,1960.0,PG,Carl Braun,699.0,196.0,81.0,41
56,1961.0,PG,Carl Braun,85.0,196.0,81.0,89
57,1962.0,PG,Carl Braun,176.0,196.0,81.0,93
58,1950.0,G,Frankie Brian,1138.0,185.0,81.0,3
59,1951.0,G,Frankie Brian,1144.0,185.0,81.0,5
60,1952.0,SG,Frankie Brian,1051.0,185.0,81.0,6
61,1953.0,SG,Frankie Brian,726.0,185.0,81.0,32
62,1954.0,SG,Frankie Brian,401.0,185.0,81.0,68
63,1955.0,SG,Frankie Brian,691.0,185.0,81.0,37
64,1956.0,PG,Frankie Brian,228.0,185.0,81.0,80
65,1950.0,F-G,Price Brookfield,34.0,193.0,83.0,272
66,1950.0,F,Bob Brown,724.0,193.0,92.0,35
67,1950.0,C,Jim Browne,47.0,208.0,106.0,258
68,1950.0,PF,Walt Budko,595.0,196.0,99.0,59
